iter	Passed	Remaining
1245	3410	147
1246	3413	145
1247	3415	142
1248	3418	139
1249	3420	136
1250	3423	134
1251	3425	131
1252	3428	128
1253	3430	125
1254	3433	123
1255	3435	120
1256	3438	117
1257	3440	114
1258	3443	112
1259	3445	109
1260	3447	106
1261	3450	103
1262	3452	101
1263	3455	98
1264	3458	95
1265	3460	92
1266	3463	90
1267	3465	87
1268	3468	84
1269	3470	81
1270	3472	79
1271	3475	76
1272	3478	73
1273	3480	71
1274	3483	68
1275	3485	65
1276	3488	62
1277	3490	60
1278	3493	57
1279	3495	54
1280	3498	51
1281	3500	49
1282	3503	46
1283	3505	43
1284	3508	40
1285	3510	38
1286	3513	35
1287	3515	32
1288	3518	30
1289	3520	27
1290	3523	24
1291	3525	21
1292	3527	19
1293	3530	16
1294	3532	13
1295	3535	10
1296	3537	8
1297	3540	5
1298	3543	2
1299	3545	0
